Date,Open,High,Low,Close,Adj Close,Volume
2010-10-27,26.485594,26.971325,26.326628,26.971325,26.374556,288739
2010-10-28,27.218607,27.218607,26.644560,27.041977,26.443645,343996
2010-10-29,27.059639,27.465887,26.856516,27.465887,26.858177,543284
2010-11-01,27.465887,28.022270,27.465887,28.004606,27.384975,623338
2010-11-03,28.022270,28.022270,27.298088,27.377571,26.771814,754913
2010-11-04,27.642515,27.748493,26.944830,27.695505,27.082714,591294
2010-11-05,26.715212,29.099710,26.671055,29.011395,28.369488,1271927
2010-11-08,29.143867,29.143867,28.031101,28.031101,27.410885,626962
2010-11-09,28.366697,28.578653,26.971325,27.165617,26.564548,530941
2010-11-10,27.289257,27.483549,26.671055,27.483549,26.875446,429373
2010-11-11,27.271593,28.675798,26.874178,28.393192,27.764965,817304
2010-11-12,28.172405,28.243057,27.518875,27.660179,27.048170,325540
2010-11-16,28.154741,28.154741,26.962494,27.474718,26.866810,787637
2010-11-17,27.377571,28.719955,27.271593,28.613979,27.980865,606467
2010-11-18,28.746450,28.940742,28.349033,28.702293,28.067226,530941
2010-11-19,28.684629,29.020226,28.349033,28.958406,28.317673,273680
2010-11-22,28.878923,29.294003,27.872135,28.057596,27.436792,603296
2010-11-23,27.571865,28.278383,26.909504,28.260719,27.635422,1060185
2010-11-24,28.260719,29.099710,28.260719,28.878923,28.239946,563552
2010-11-25,28.878923,29.214520,28.834764,29.188025,28.542210,189775
2010-11-26,28.711124,28.905416,28.181236,28.437349,27.808144,330635
2010-11-29,28.269550,28.516832,27.165617,27.510044,26.901356,655156
2010-11-30,27.395235,27.792650,26.935999,26.935999,26.340012,1031990
2010-12-01,27.377571,28.234224,27.333414,28.075258,27.454065,524374
2010-12-02,27.845640,29.143867,27.845640,29.143867,28.499029,960881
2010-12-03,28.878923,30.601061,28.702293,30.468588,29.794437,923741
2010-12-06,30.442095,30.707039,29.037889,29.302834,28.654478,716528
2010-12-07,29.753239,30.141825,29.717913,30.018183,29.354000,380683
2010-12-08,29.779734,30.512747,29.770903,29.894543,29.233095,675651
2010-12-09,30.247803,30.247803,29.355824,29.673756,29.017193,449075
2010-12-10,29.532452,30.645218,29.532452,30.353779,29.682171,942764
2010-12-13,30.380274,31.281084,30.291960,30.468588,29.794437,823078
2010-12-14,30.477421,30.592230,29.285172,29.285172,28.637207,660025
2010-12-15,29.161530,29.435307,28.304876,28.357866,27.730419,748346
